               r             gofr
      0.03000000       0.00000000
      0.09000000       0.00000000
      0.15000000       0.00000000
      0.21000000       0.00000000
      0.27000000       0.00000000
      0.33000000       0.00000000
      0.39000000       0.00000000
      0.45000000       0.00000000
      0.51000000       0.00000000
      0.57000000       0.00000000
      0.63000000       0.00000000
      0.69000000       0.00000000
      0.75000000       0.00000000
      0.81000000       0.00000000
      0.87000000       0.00000000
      0.93000000       0.00000000
      0.99000000       0.00000000
      1.05000000       0.00000000
      1.11000000       0.00000000
      1.17000000       0.00000000
      1.23000000       0.00000000
      1.29000000       0.00000000
      1.35000000       0.00000000
      1.41000000       0.00000000
      1.47000000       0.00000000
      1.53000000       0.00000000
      1.59000000       0.00000000
      1.65000000       0.00000000
      1.71000000       0.00000000
      1.77000000       0.00000000
      1.83000000       0.00000000
      1.89000000       0.00000000
      1.95000000       0.00000000
      2.01000000       0.00000000
      2.07000000       0.00000000
      2.13000000       0.00000000
      2.19000000       0.00000000
      2.25000000       0.00000000
      2.31000000       0.00000000
      2.37000000       0.00000000
      2.43000000       0.00686068
      2.49000000       0.09886295
      2.55000000       0.63724033
      2.61000000       1.64720403
      2.67000000       2.70710476
      2.73000000       3.10581928
      2.79000000       2.84571499
      2.85000000       2.35785799
      2.91000000       1.76918196
      2.97000000       1.36674683
      3.03000000       1.06710107
      3.09000000       0.89674515
      3.15000000       0.82598628
      3.21000000       0.77813251
      3.27000000       0.75947652
      3.33000000       0.77746730
      3.39000000       0.77800950
      3.45000000       0.78189168
      3.51000000       0.83559642
      3.57000000       0.81983887
      3.63000000       0.85358306
      3.69000000       0.88452285
      3.75000000       0.92546180
      3.81000000       0.94368530
      3.87000000       0.96351801
      3.93000000       0.97058943
      3.99000000       1.01729793
      4.05000000       1.02458955
      4.11000000       1.05380912
      4.17000000       1.05976392
      4.23000000       1.10266299
      4.29000000       1.08466904
      4.35000000       1.11434341
      4.41000000       1.10465169
      4.47000000       1.12566545
      4.53000000       1.10449929
      4.59000000       1.09554388
      4.65000000       1.10883793
      4.71000000       1.08176012
      4.77000000       1.07647148
      4.83000000       1.05993543
      4.89000000       1.04351354
      4.95000000       1.01916064
      5.01000000       1.00679103
      5.07000000       0.99787021
      5.13000000       0.98360042
      5.19000000       0.97276075
      5.25000000       0.95544656
      5.31000000       0.92476225
      5.37000000       0.92605004
      5.43000000       0.90026172
      5.49000000       0.89296441
      5.55000000       0.89626401
      5.61000000       0.86714893
      5.67000000       0.89384930
      5.73000000       0.88995474
      5.79000000       0.90673066
      5.85000000       0.89494351
      5.91000000       0.90866104
      5.97000000       0.92214332
