               r             gofr
      0.03000000       0.00000000
      0.09000000       0.00000000
      0.15000000       0.00000000
      0.21000000       0.00000000
      0.27000000       0.00000000
      0.33000000       0.00000000
      0.39000000       0.00000000
      0.45000000       0.00000000
      0.51000000       0.00000000
      0.57000000       0.00000000
      0.63000000       0.00000000
      0.69000000       0.00000000
      0.75000000       0.00000000
      0.81000000       0.00000000
      0.87000000       0.00000000
      0.93000000       0.00000000
      0.99000000       0.00000000
      1.05000000       0.00000000
      1.11000000       0.00000000
      1.17000000       0.00000000
      1.23000000       0.00000000
      1.29000000       0.00000000
      1.35000000       0.00000000
      1.41000000       0.00000000
      1.47000000       0.00000000
      1.53000000       0.00000000
      1.59000000       0.00000000
      1.65000000       0.00000000
      1.71000000       0.00000000
      1.77000000       0.00000000
      1.83000000       0.00000000
      1.89000000       0.00000000
      1.95000000       0.00000000
      2.01000000       0.00000000
      2.07000000       0.00000000
      2.13000000       0.00000000
      2.19000000       0.00000000
      2.25000000       0.00000000
      2.31000000       0.00000000
      2.37000000       0.00000000
      2.43000000       0.00343034
      2.49000000       0.04957352
      2.55000000       0.31895876
      2.61000000       0.82302024
      2.67000000       1.35200814
      2.73000000       1.55332323
      2.79000000       1.42308378
      2.85000000       1.17806158
      2.91000000       0.88422697
      2.97000000       0.68282428
      3.03000000       0.53297497
      3.09000000       0.44800362
      3.15000000       0.41308190
      3.21000000       0.38906626
      3.27000000       0.37986181
      3.33000000       0.38869394
      3.39000000       0.38885148
      3.45000000       0.39068686
      3.51000000       0.41726207
      3.57000000       0.40922840
      3.63000000       0.42709230
      3.69000000       0.44274654
      3.75000000       0.46219856
      3.81000000       0.47232802
      3.87000000       0.48172960
      3.93000000       0.48515216
      3.99000000       0.50757020
      4.05000000       0.51111351
      4.11000000       0.52653960
      4.17000000       0.52912224
      4.23000000       0.55074084
      4.29000000       0.54147314
      4.35000000       0.55665973
      4.41000000       0.55239377
      4.47000000       0.56168670
      4.53000000       0.55192776
      4.59000000       0.54637152
      4.65000000       0.55350250
      4.71000000       0.54072126
      4.77000000       0.53835186
      4.83000000       0.53019423
      4.89000000       0.52061499
      4.95000000       0.50857388
      5.01000000       0.50232532
      5.07000000       0.49756459
      5.13000000       0.49034444
      5.19000000       0.48551391
      5.25000000       0.47780316
      5.31000000       0.46010092
      5.37000000       0.46108563
      5.43000000       0.44880163
      5.49000000       0.44538642
      5.55000000       0.44670237
      5.61000000       0.43370039
      5.67000000       0.44550010
      5.73000000       0.44448112
      5.79000000       0.45173651
      5.85000000       0.44733021
      5.91000000       0.45430531
      5.97000000       0.46021913
